status,netWeightTonnage,portOfRegistry,hullType,callSign,yardNo,yard,builtBy,lengthOverall,lengthBetweenPerpendicular,breadthExtreme,breadthMoulded,depth,draught,teuCapacity,freeboard,engineBuilder,engineDesigner,narrativeText,piClub,class1,class2,class3,mmsi,currentClassName,orderDate,orderDateQualifier,launchDate,launchDateQualifier,price,aisTransmissionType,images,imagesLastUpdated,id,llpno,imo,name,type,contact,grossTonnage,deadWeightTonnage,buildYear,classbIndicator,scrubberType,scrubberOperatingArrangement,scrubberSystemManufacturer,scrubberInstallationType,flagCode,flagName,builderCompanyID,builderCompanyName,builtAtID,builtAtName,bestContactID,bestContactName,beneficialOwnerID,beneficialOwnerName,registeredOwnerID,registeredOwnerName,nominalOwnerID,nominalOwnerName,commercialOperatorID,commercialOperatorName,technicalManagerID,technicalManagerName,thirdPartyOperatorID,thirdPartyOperatorName,ismManagerID,ismManagerName
Live,78834,Copenhagen,Single,OWMD2,4302,,Daewoo Shipbuilding & Marine Engineering Company Limited,399,378.5,58.6,58.6,33.2,15,19630,18200,Doosan Engine Company Limited,MAN Energy Solutions SE,"Launched South Korea,Republic of Korea Before 22-FEB-2017",Standard Steamship Owners Protection & Indemnity Association (Bermuda) Ltd,American Bureau,,,219836000,American Bureau,2015-05-01T00:00:00,,2016-12-10T00:00:00,Before,163.6,A,,,12487823,12487823,9778791,Madrid Maersk,fully cellular containership,Maersk A/S,214286,210019,2017,FALSE,,,,,DIS,Denmark (Int. Register),82136,Daewoo Shipbuilding & Marine Engineering Company Limited,14166,South Korea,127123,Maersk A/S,10498,A.P. Moller-Maersk Group,127123,Maersk A/S,,,127123,Maersk A/S,127123,Maersk A/S,,,127123,Maersk A/S
Live,62537,Svendborg,Single,OVXP2,205,,Odense Steel Shipyard Limited,398.9,376,56.55,56.4,30.3,16,11000,14200,HSD Sjo AS,Sulzer Turbomachinery Services,,"Britannia Steam Ship Insurance Association Ltd., The",American Bureau,,,220477000,American Bureau,2004-04-01T00:00:00,Before,2006-11-09T00:00:00,,,A,,,356058,356058,9321500,Eleonora Maersk,fully cellular containership,Maersk A/S,171542,174239,2007,FALSE,,,,,DIS,Denmark (Int. Register),82289,Odense Steel Shipyard Limited,14796,Lindo,127123,Maersk A/S,10498,A.P. Moller-Maersk Group,127123,Maersk A/S,,,127123,Maersk A/S,127123,Maersk A/S,,,127123,Maersk A/S
Live,78834,Copenhagen,Single,OWAV2,4308,,Daewoo Shipbuilding & Marine Engineering Company Limited,399,378.5,,58.6,33.2,15,19630,18200,Doosan Engine Company Limited,MAN Energy Solutions SE,"Launched South Korea,Republic of Korea Before 05-DEC-2017",Standard Steamship Owners Protection & Indemnity Association (Bermuda) Ltd,American Bureau,,,219034000,American Bureau,2015-05-01T00:00:00,Before,2017-09-18T00:00:00,,163.6,A,,,12504403,12504403,9780445,Manchester Maersk,fully cellular containership,Maersk A/S,214286,210019,2017,FALSE,,,,,DIS,Denmark (Int. Register),82136,Daewoo Shipbuilding & Marine Engineering Company Limited,14166,South Korea,127123,Maersk A/S,10498,A.P. Moller-Maersk Group,127123,Maersk A/S,,,127123,Maersk A/S,127123,Maersk A/S,,,127123,Maersk A/S
Live,78834,Copenhagen,Single,OWGK2,4305,,Daewoo Shipbuilding & Marine Engineering Company Limited,399,378.5,,58.6,33.2,15,19630,18200,Doosan Engine Company Limited,MAN Energy Solutions SE,"Launched South Korea,Republic of Korea Before 25-JUL-2017",Standard Steamship Owners Protection & Indemnity Association (Bermuda) Ltd,American Bureau,,,219861000,American Bureau,2015-05-01T00:00:00,,2017-05-13T00:00:00,Before,163.6,A,,,12487886,12487886,9778820,Milan Maersk,fully cellular containership,Maersk A/S,214286,210019,2017,FALSE,,,,,DIS,Denmark (Int. Register),82136,Daewoo Shipbuilding & Marine Engineering Company Limited,14166,South Korea,127123,Maersk A/S,10498,A.P. Moller-Maersk Group,127123,Maersk A/S,,,127123,Maersk A/S,127123,Maersk A/S,,,127123,Maersk A/S
Live,13284,Randers,Single,OWKF2,435,,Volkswerft Stralsund GmbH - NOW SEE P&S WERFTEN GMBH,216.87,203.8,32.3,32.22,18.15,12.25,2833,5900,B&W Diesel A/S,B&W Diesel A/S,,"Britannia Steam Ship Insurance Association Ltd., The",Lloyds Register,,,220008000,Lloyds Register,1999-01-01T00:00:00,Before,2002-01-19T00:00:00,On,,A,,,302440,302440,9215191,Josephine Maersk,fully cellular containership,Maersk A/S,30166,35082,2002,FALSE,,,,,DIS,Denmark (Int. Register),45242,Volkswerft Stralsund GmbH - NOW SEE P&S WERFTEN GMBH,11822,Stralsund,127123,Maersk A/S,10498,A.P. Moller-Maersk Group,127123,Maersk A/S,,,127123,Maersk A/S,127123,Maersk A/S,,,127123,Maersk A/S
Live,78834,Copenhagen,Single,OWPU2,4307,,Daewoo Shipbuilding & Marine Engineering Company Limited,399,378.5,,58.6,33.2,15,20568,18200,Doosan Engine Company Limited,MAN Energy Solutions SE,"Launched South Korea,Republic of Korea Before 16-NOV-2017",Standard Steamship Owners Protection & Indemnity Association (Bermuda) Ltd,American Bureau,,,219854000,American Bureau,2015-05-01T00:00:00,,2017-07-18T00:00:00,Before,163.6,A,,,12487829,12487829,9778844,Marseille Maersk,fully cellular containership,Maersk A/S,214286,210019,2018,FALSE,,,,,DIS,Denmark (Int. Register),82136,Daewoo Shipbuilding & Marine Engineering Company Limited,14166,South Korea,127123,Maersk A/S,10498,A.P. Moller-Maersk Group,127123,Maersk A/S,,,127123,Maersk A/S,127123,Maersk A/S,127123,Maersk A/S,127123,Maersk A/S
Live,88997,Copenhagen,Single,OWTB2,4309,,Daewoo Shipbuilding & Marine Engineering Company Limited,399,378.5,,58.6,33.2,15,19630,18200,Doosan Engine Company Limited,MAN Energy Solutions SE,"Launched South Korea,Republic of Korea Before 12-JAN-2018",Standard Steamship Owners Protection & Indemnity Association (Bermuda) Ltd,American Bureau,,,219036000,American Bureau,2015-06-02T00:00:00,,2017-11-04T00:00:00,,163.6,A,,,12504405,12504405,9780457,Murcia Maersk,fully cellular containership,Maersk A/S,214286,210019,2018,FALSE,,,,,DIS,Denmark (Int. Register),82136,Daewoo Shipbuilding & Marine Engineering Company Limited,14166,South Korea,127123,Maersk A/S,10498,A.P. Moller-Maersk Group,127123,Maersk A/S,,,127123,Maersk A/S,127123,Maersk A/S,,,127123,Maersk A/S
Live,79120,Hellerup,Single,OWIZ2,4250,,Daewoo Shipbuilding & Marine Engineering Company Limited,399,376.21,59,59,30.3,16,18270,14300,Doosan Engine Company Limited,B&W Diesel A/S,"Launched Okpo,Republic of Korea Before 01-FEB-2013","Britannia Steam Ship Insurance Association Ltd., The",American Bureau,,,219018271,American Bureau,2011-02-01T00:00:00,Before,2013-02-24T00:00:00,,185,A,,,10997415,10997415,9619907,Maersk Mc-Kinney Moller,fully cellular containership,Maersk A/S,194849,213971,2013,FALSE,,,,,DIS,Denmark (Int. Register),82136,Daewoo Shipbuilding & Marine Engineering Company Limited,12215,Okpo,127123,Maersk A/S,10498,A.P. Moller-Maersk Group,127123,Maersk A/S,,,127123,Maersk A/S,127123,Maersk A/S,,,127123,Maersk A/S
Live,79120,Svendborg,Single,OWJE2,4252,,Daewoo Shipbuilding & Marine Engineering Company Limited,399,376.21,59,59,30.3,16,18270,14300,Doosan Engine Company Limited,B&W Diesel A/S,"Launched Okpo,Republic of Korea  02-AUG-2013","Britannia Steam Ship Insurance Association Ltd., The",American Bureau,,,219018692,American Bureau,2011-02-01T00:00:00,Before,2013-05-04T00:00:00,,185,A,,,10997990,10997990,9619921,Mary Maersk,fully cellular containership,Maersk A/S,194849,213971,2013,FALSE,Unknown,Unknown,Unknown Scrubber Manufacturer,,DIS,Denmark (Int. Register),82136,Daewoo Shipbuilding & Marine Engineering Company Limited,12215,Okpo,127123,Maersk A/S,10498,A.P. Moller-Maersk Group,127123,Maersk A/S,,,127123,Maersk A/S,127123,Maersk A/S,,,127123,Maersk A/S
Live,55396,Roskilde,Single,OXOR2,209,,Odense Steel Shipyard Limited,397.71,376,56.55,56.4,30.3,16,11000,14200,Doosan Engine Company Limited,Sulzer Turbomachinery Services,,"Britannia Steam Ship Insurance Association Ltd., The",American Bureau,,,220501000,American Bureau,2004-04-01T00:00:00,Before,2007-09-18T00:00:00,Before,,A,,,356063,356063,9321548,Edith Maersk,fully cellular containership,Maersk A/S,171542,174239,2007,FALSE,,,,,DIS,Denmark (Int. Register),82289,Odense Steel Shipyard Limited,14796,Lindo,127123,Maersk A/S,10498,A.P. Moller-Maersk Group,127123,Maersk A/S,,,127123,Maersk A/S,127123,Maersk A/S,,,127123,Maersk A/S
