port,area,type,country_code,country_name,lng,lat
Etki LNG Terminal,E Mediterranean,Port,TUR,Turkey,26.897778,38.744722
Lexington,Great Lakes - Canada,Port,USA,U.S.A.,-82.530556,43.267778
Meteiai,Australasia,Port,PNG,Papua New Guinea,150.382222,-2.459167
Crabbs,Caribbean,Port,ATG,Antigua & Barbuda,-61.755556,17.126944
Chichester,UK/Eire,Port,GBR,U.K.,-0.775,50.8375
Akcansa,E Mediterranean,Port,TUR,Turkey,26.158056,39.878889
Malaya Kheta,Scandinavia/Baltic,Port,RUS,Russia,84.533333,69.55
Saugatuck,Great Lakes - Canada,Port,USA,U.S.A.,-86.2,42.633333
Merritt Is.,US Atlantic,Port,USA,U.S.A.,-80.7,28.35
Gladstone(USA),Great Lakes - Canada,Port,USA,U.S.A.,-87.004722,45.851944
Dunnville,Great Lakes - Canada,Port,CAN,Canada,-79.616667,42.9
Punta Langosteira,Iberian Atlantic,Port,ESP,Spain,-8.501111,43.3325
Tarrafal,W Africa,Port,CPV,Cape Verde,-23.751944,15.277778
Chatham(CAN),Great Lakes - Canada,Port,CAN,Canada,-65.466667,47.033333
Kaktovik,N America - Pacific,Port,USA,U.S.A.,-143.833333,70.133333
Port Dover,Great Lakes - Canada,Port,CAN,Canada,-80.203056,42.786667
Apra,Australasia,Port,GUM,Guam,144.6575,13.433056
St. John's(ATG),Caribbean,Port,ATG,Antigua & Barbuda,-61.844444,17.118056
La Baie,Great Lakes - Canada,Port,CAN,Canada,-70.866667,48.316667
Plymouth(MSR),Caribbean,Port,MSR,Montserrat,-62.216667,16.7
Roseau,Caribbean,Port,DMA,Dominica,-61.386944,15.298611
Kingstown,Caribbean,Port,VCT,St. Vincent & Grenadines,-61.233333,13.15
Mindelo,W Africa,Port,CPV,Cape Verde,-24.981111,16.876667
Gustavia,Caribbean,Port,BLM,St. Barthelemy,-62.850556,17.896111
Basseterre,Caribbean,Port,KNA,St. Kitts-Nevis,-62.716667,17.3
Bruce Mines,Great Lakes - Canada,Port,CAN,Canada,-83.716667,46.266667
Ryde,UK/Eire,Port,GBR,U.K.,-1.15,50.733333
Maghagha,N Africa,Port,EGY,Egypt,30.833333,28.65
Palatka,US Atlantic,Port,USA,U.S.A.,-81.666667,29.633333
Helwan,N Africa,Port,EGY,Egypt,31.333333,29.85
St. Augustine,US Atlantic,Port,USA,U.S.A.,-81.316667,29.883333
Abbenfleth,N Cont Europe,Port,DEU,Germany,9.5,53.683333
Kewaunee,Great Lakes - Canada,Port,USA,U.S.A.,-87.516667,44.45
Philipsburg,Caribbean,Port,SXM,St. Maarten,-63.061944,18.013333
Luperon,Caribbean,Port,DOM,Dominican Republic,-70.95,19.883333
La Savina,S Europe,Port,ESP,Spain,1.416389,38.732222
Ottawa,Great Lakes - Canada,Port,CAN,Canada,-75.7,45.4
Aulds Cove,Great Lakes - Canada,Port,CAN,Canada,-61.438889,45.649444
Thessalon,Great Lakes - Canada,Port,CAN,Canada,-83.55,46.25
Bath(CAN),Great Lakes - Canada,Port,CAN,Canada,-76.770833,44.184167
Silver Bay,Great Lakes - Canada,Port,USA,U.S.A.,-91.265556,47.275556
Colborne,Great Lakes - Canada,Port,CAN,Canada,-77.883333,44
Puerto Pollensa,S Europe,Port,ESP,Spain,3.066667,39.883333
Ontonagon,Great Lakes - Canada,Port,USA,U.S.A.,-89.3,46.866667
Manistee,Great Lakes - Canada,Port,USA,U.S.A.,-86.333333,44.25
Bowmanville,Great Lakes - Canada,Port,CAN,Canada,-78.675278,43.888056
Pichilingue,Central America,Port,MEX,Mexico,-110.324444,24.276389
San Carlos(Sonora),Central America,Port,MEX,Mexico,-111.033333,27.95
El Sauzal,Central America,Port,MEX,Mexico,-116.683333,31.883333
Perce,Great Lakes - Canada,Port,CAN,Canada,-64.216667,48.5
Puerto Penasco,Central America,Port,MEX,Mexico,-113.533333,31.3
Alcanar,S Europe,Port,ESP,Spain,0.539444,40.576111
Picton(CAN),Great Lakes - Canada,Port,CAN,Canada,-77.133333,44
Charlevoix,Great Lakes - Canada,Port,USA,U.S.A.,-85.279722,45.318333
Stoneport,Great Lakes - Canada,Port,USA,U.S.A.,-83.425,45.294722
Calcite,Great Lakes - Canada,Port,USA,U.S.A.,-83.789167,45.412222
Cedarville,Great Lakes - Canada,Port,USA,U.S.A.,-84.35,45.983333
Port Dolomite,Great Lakes - Canada,Port,USA,U.S.A.,-84.276111,45.981667
Wyandotte,Great Lakes - Canada,Port,USA,U.S.A.,-83.15,42.183333
Essexville,Great Lakes - Canada,Port,USA,U.S.A.,-83.846944,43.638611
St. Clair,Great Lakes - Canada,Port,USA,U.S.A.,-82.483889,42.818611
Meldrum Bay,Great Lakes - Canada,Port,CAN,Canada,-83.1,45.916667
Courtright,Great Lakes - Canada,Port,CAN,Canada,-82.45,42.8
Sombra,Great Lakes - Canada,Port,CAN,Canada,-82.466667,42.7
Brevort,Great Lakes - Canada,Port,USA,U.S.A.,-85.106111,46.026944
Kingsville,Great Lakes - Canada,Port,CAN,Canada,-82.716667,42.016667
Marblehead,Great Lakes - Canada,Port,USA,U.S.A.,-82.716667,41.533333
Lafayette,Great Lakes - Canada,Port,USA,U.S.A.,-86.883333,40.4
Myrina,E Mediterranean,Port,GRC,Greece,25.05,39.866667
Cee,Iberian Atlantic,Port,ESP,Spain,-9.166667,42.95
Hoo,UK/Eire,Port,GBR,U.K.,0.566667,51.416667
Mulege,Central America,Port,MEX,Mexico,-111.95,26.883333
Los Barriles,Central America,Port,MEX,Mexico,-109.683333,23.683333
Andres,Caribbean,Port,DOM,Dominican Republic,-69.631667,18.442222
Long Sault,Great Lakes - Canada,Port,CAN,Canada,-74.9,45.016667
Rockport(MI),Great Lakes - Canada,Port,USA,U.S.A.,-83.383333,45.2
Caucedo,Caribbean,Port,DOM,Dominican Republic,-69.631111,18.424167
Portsmouth(DMA),Caribbean,Port,DMA,Dominica,-61.452222,15.576667
Woodbridge Bay,Caribbean,Port,DMA,Dominica,-61.716667,16.05
Asyaport,Black Sea,Port,TUR,Turkey,27.466389,40.904444
Puerto Carupano,Caribbean,Port,CUB,Cuba,-76.540278,21.231389
Algonac,Great Lakes - Canada,Port,USA,U.S.A.,-82.546667,42.610833
Alexandria Bay(USA),Great Lakes - Canada,Port,USA,U.S.A.,-75.916944,44.336111
Tawas City,Great Lakes - Canada,Port,USA,U.S.A.,-83.520833,44.27
Traverse City,Great Lakes - Canada,Port,USA,U.S.A.,-85.620278,44.763056
Dunkirk(USA),Great Lakes - Canada,Port,USA,U.S.A.,-79.316667,42.484167
Grimsby(CAN),Great Lakes - Canada,Port,CAN,Canada,-79.559167,43.194444
Port Said East,N Africa,Port,EGY,Egypt,32.356944,31.207222
Saguenay,Great Lakes - Canada,Port,CAN,Canada,-71.059167,48.428611
Penuelas,Caribbean,Port,PRI,Puerto Rico,-66.757222,17.979722
Barrington Passage,Great Lakes - Canada,Port,CAN,Canada,-65.616667,43.516667
Friedrichskoog,N Cont Europe,Port,DEU,Germany,8.866667,54
Charlotte Amalie,Caribbean,Port,VIR,Virgin Islands,,
La Grange,Great Lakes - Canada,Port,USA,U.S.A.,-90.533333,39.933333
Tobermory(CAN),Great Lakes - Canada,Port,CAN,Canada,-81.666111,45.254722
Pelee Is.,Great Lakes - Canada,Port,CAN,Canada,-82.678889,41.790833
Little Current,Great Lakes - Canada,Port,CAN,Canada,-81.916667,45.966667
Gananoque,Great Lakes - Canada,Port,CAN,Canada,-76.15,44.316667
Eastern Passage,Great Lakes - Canada,Port,CAN,Canada,-63.483333,44.6
Mossville,Great Lakes - Canada,Port,USA,U.S.A.,-89.566667,40.8
Beasain,Iberian Atlantic,Port,ESP,Spain,-2.183333,43.05
Long Point,Caribbean,Port,KNA,St. Kitts-Nevis,-62.616667,17.116667
Erieau,Great Lakes - Canada,Port,CAN,Canada,-81.933333,42.25
List,N Cont Europe,Port,DEU,Germany,8.433333,55.016667
Elba Is.,US Atlantic,Port,USA,U.S.A.,-80.993333,32.086667
Jensen Beach,US Atlantic,Port,USA,U.S.A.,-80.216667,27.216667
